combined,Dignity,Solidarity,Plurality,Subsidiarity,Reciprocity,Sustainability,,Manual,Dignity,Solidarity,Plurality,Subsidiarity,Reciprocity,Sustainability,,Boxplots,,,,,Boxplot Data,0,0.25,0.75,1,,Boxplot Data,0.01,0.25,0.75,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901000g Currently not available Show details We know no limitations when it comes to fairness and appreciation.,0.106229473567,0.110099578007,0.163598768710,0.167146638715,0.163318120222,0.141322800386,,,2,1,0,0,1,0,,Manual Score,Value,Manual Column Nr,Score Column,Manual Column,Label,Min,Q1,Q3,Max,,Label,Min,Q1,Q3,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For at the end of the day, the world is a village.",0.193821047538,0.290966542383,0.207264576077,0.054562113649,0.115802178355,0.298484742734,,,0,1,0,0,0,0,,0,Dignity,10,B,J,Dignity=0,-0.1463399056,-0.0305443732,0.07393047591,0.3722298433,,Dignity=0,-0.1254014621,-0.0305443732,0.07393047591,0.2615142588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmers are called fermierii in Romania and agricultores in Nicaragua.,-0.064029936162,0.131986918074,0.015356407947,0.125320143645,0.007016564651,0.107576701362,,,0,0,0,0,0,0,,1,Dignity,10,B,J,Dignity=1,-0.09920011929,0.01683828782,0.1117086892,0.3734007647,,Dignity=1,-0.0800454518,0.01683828782,0.1117086892,0.3125655361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We know this because we are dealing directly with our global partners in Tanzania, the Czech Republic, Albania, Germany, and Nicaragua and Romania.",0.036744847403,0.261838775346,0.185453750661,0.091948491802,0.240733628726,0.120570922092,,,0,0,0,0,1,0,,2,Dignity,10,B,J,Dignity=2,-0.04354088443,0.06103747203,0.2163206294,0.4035003708,,Dignity=2,-0.03339023688,0.06103747203,0.2163206294,0.3862901195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other countries also have good herbs, the finest coffee which does not grow in the Waldviertel and magnificent flowers Direct trade is fair!",-0.099200119288,-0.017940610049,0.160264718244,-0.020849246866,0.120795529154,0.060709059522,,,1,1,0,0,1,0,,0,Solidarity,11,C,K,Solidarity=0,-0.1550021453,-0.003978675438,0.1114478687,0.4186231735,,Solidarity=0,-0.1114663532,-0.003978675438,0.1114478687,0.2952272626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By direct trade our fermert farmers in Albanian receive fair prices for their products - with a 0.,-0.035434321910,0.096348878651,0.138087170626,0.184590470273,0.113086256974,0.110559672344,,,0,0,0,0,2,0,,1,Solidarity,11,C,K,Solidarity=1,-0.08208127359,0.06862558036,0.2079062381,0.4106953095,,Solidarity=1,-0.0762119584,0.06862558036,0.2079062381,0.3470375949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00 risk on price speculation or middle trade.,-0.014753890759,-0.041150781929,0.092971379194,0.111627305842,0.182329715271,0.037946863777,,,0,0,0,0,2,0,,2,Solidarity,11,C,K,Solidarity=2,-0.07060667004,0.06225445498,0.2260269331,0.4604259282,,Solidarity=2,-0.05567710095,0.06225445498,0.2260269331,0.3550189778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why are we not Fairtrade certified?,0.009425468771,0.073739759979,0.112828797635,0.164605914486,0.251900017532,0.088076311639,,,1,1,0,0,1,0,,0,Plurality,12,D,L,Plurality=0,-0.1213491032,0.04747193041,0.1636217847,0.490416751,,Plurality=0,-0.06732793889,0.04747193041,0.1636217847,0.3490742662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Because we do not want to rely on a logo when it comes to our valuable raw materials.,0.117325661636,0.063452483266,0.146621812406,0.076935110751,0.031535125329,0.163240146215,,,0,0,0,0,0,0,,1,Plurality,12,D,L,Plurality=1,0.06007154013,0.1868035501,0.3127993905,0.4271972388,,Plurality=1,0.06359428277,0.1868035501,0.3127993905,0.4220745247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rather, we prefer to work directly with our farmers.",0.003297956257,0.137963264716,0.205191725401,0.132057583212,0.119618142466,0.183879040562,,,0,0,0,0,1,0,,2,Plurality,12,D,L,Plurality=2,0.1476663533,0.2019592018,0.3775592741,0.5675838948,,Plurality=2,0.1502765161,0.2019592018,0.3775592741,0.5601266673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
