combined,Dignity,Solidarity,Plurality,Subsidiarity,Reciprocity,Sustainability,,Manual,Dignity,Solidarity,Plurality,Subsidiarity,Reciprocity,Sustainability,,Boxplots,,,,,Boxplot Data,0,0.25,0.75,1,,Boxplot Data,0.01,0.25,0.75,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901000g Currently not available Show details We know no limitations when it comes to fairness and appreciation.,0.624976091461,0.629939474567,0.591953346749,0.565171547890,0.610125398429,0.580881622095,,,2,1,0,0,1,0,,Manual Score,Value,Manual Column Nr,Score Column,Manual Column,Label,Min,Q1,Q3,Max,,Label,Min,Q1,Q3,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For at the end of the day, the world is a village.",0.672264956555,0.684202903258,0.678680792956,0.647238144286,0.630278924817,0.668133390630,,,0,1,0,0,0,0,,0,Dignity,10,B,J,Dignity=0,0.4635219155,0.5653315729,0.6244023238,0.7476260899,,Dignity=0,0.4989988941,0.5653315729,0.6244023238,0.6989141698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmers are called fermierii in Romania and agricultores in Nicaragua.,0.591218286762,0.578351897196,0.573377440631,0.532142779234,0.571448819744,0.557735482799,,,0,0,0,0,0,0,,1,Dignity,10,B,J,Dignity=1,0.5350432729,0.5960990499,0.6384855858,0.7512180769,,Dignity=1,0.5364218122,0.5960990499,0.6384855858,0.6938645042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We know this because we are dealing directly with our global partners in Tanzania, the Czech Republic, Albania, Germany, and Nicaragua and Romania.",0.696768211162,0.733196286952,0.697005407223,0.665251314775,0.698886144756,0.675446009763,,,0,0,0,0,1,0,,2,Dignity,10,B,J,Dignity=2,0.5641417746,0.6480315953,0.7114097562,0.7734982827,,Dignity=2,0.579469391,0.6480315953,0.7114097562,0.7693613623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other countries also have good herbs, the finest coffee which does not grow in the Waldviertel and magnificent flowers Direct trade is fair!",0.624045921629,0.680353799797,0.648178217429,0.607175094129,0.617133772262,0.631182999621,,,1,1,0,0,1,0,,0,Solidarity,11,C,K,Solidarity=0,0.5074130952,0.5894225012,0.6402719899,0.7369770077,,Solidarity=0,0.5289281257,0.5894225012,0.6402719899,0.7257815694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By direct trade our fermert farmers in Albanian receive fair prices for their products - with a 0.,0.576791531894,0.649089905704,0.604768796123,0.584016156839,0.607472374037,0.581678706870,,,0,0,0,0,2,0,,1,Solidarity,11,C,K,Solidarity=1,0.5346406915,0.6080917904,0.6858458157,0.7188588637,,Solidarity=1,0.5508440653,0.6080917904,0.6858458157,0.7184642122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00 risk on price speculation or middle trade.,0.531117940475,0.597713607127,0.589241827144,0.556463861437,0.586900374011,0.554594499162,,,0,0,0,0,2,0,,2,Solidarity,11,C,K,Solidarity=2,0.5928157691,0.6679986198,0.7246506333,0.8201531462,,Solidarity=2,0.6103404343,0.6679986198,0.7246506333,0.7774534118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why are we not Fairtrade certified?,0.614685342695,0.655178649991,0.606796872067,0.591804572471,0.599621922417,0.629102231860,,,1,1,0,0,1,0,,0,Plurality,12,D,L,Plurality=0,0.5003354431,0.5842391895,0.6424620245,0.7814438069,,Plurality=0,0.5249695775,0.5842391895,0.6424620245,0.7292173337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Because we do not want to rely on a logo when it comes to our valuable raw materials.,0.665253335061,0.655171142050,0.659328128973,0.639983615150,0.640613808001,0.667954421704,,,0,0,0,0,0,0,,1,Plurality,12,D,L,Plurality=1,0.6281968185,0.6689520531,0.7426294755,0.7780497398,,Plurality=1,0.6314166819,0.6689520531,0.7426294755,0.7756130584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rather, we prefer to work directly with our farmers.",0.637436432364,0.639316983952,0.640686859370,0.633402929931,0.641092581224,0.643060711576,,,0,0,0,0,1,0,,2,Plurality,12,D,L,Plurality=2,0.6375428405,0.6527414243,0.7313800714,0.7436907768,,Plurality=2,0.6380303296,0.6527414243,0.7313800714,0.7431032828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This way, we can be 100 certain that their goods meet our high quality and organic standards.",0.639310533920,0.698895879590,0.671828119666,0.654216485027,0.672654691294,0.661780092613,,,0,0,0,0,2,1,,0,Subsidiarity,13,E,M,Subsidiarity=0,0.4591320782,0.574441866,0.6336196868,0.7572320856,,Subsidiarity=0,0.5091297089,0.574441866,0.6336196868,0.7084113007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
