combined,Dignity,Solidarity,Plurality,Subsidiarity,Reciprocity,Sustainability,,Manual,Dignity,Solidarity,Plurality,Subsidiarity,Reciprocity,Sustainability,,Boxplots,,,,,Boxplot Data,0,0.25,0.75,1,,Boxplot Data,0.01,0.25,0.75,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901000g Currently not available Show details We know no limitations when it comes to fairness and appreciation.,0.497451835023,0.447820469446,0.464232769294,0.487852863170,0.468874414044,0.423134358304,,,2,1,0,0,1,0,,Manual Score,Value,Manual Column Nr,Score Column,Manual Column,Label,Min,Q1,Q3,Max,,Label,Min,Q1,Q3,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For at the end of the day, the world is a village.",0.484641457422,0.495268364763,0.471935492451,0.431306014079,0.436663756820,0.493937868854,,,0,1,0,0,0,0,,0,Dignity,10,B,J,Dignity=0,0.3039049242,0.4044205327,0.4737007007,0.6220635875,,Dignity=0,0.3336833954,0.4044205327,0.4737007007,0.5781209421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmers are called fermierii in Romania and agricultores in Nicaragua.,0.481406034393,0.495910850931,0.413406432364,0.418613441916,0.470489968211,0.459439510773,,,0,0,0,0,0,0,,1,Dignity,10,B,J,Dignity=1,0.3471017872,0.4318838438,0.4876486477,0.6079065003,,Dignity=1,0.3670264194,0.4318838438,0.4876486477,0.5991611355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We know this because we are dealing directly with our global partners in Tanzania, the Czech Republic, Albania, Germany, and Nicaragua and Romania.",0.516972963383,0.532852677094,0.520044009180,0.470753950477,0.606460734181,0.491407418675,,,0,0,0,0,1,0,,2,Dignity,10,B,J,Dignity=2,0.4246731173,0.508134354,0.5649095687,0.6724175916,,Dignity=2,0.4311317916,0.508134354,0.5649095687,0.6708231608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other countries also have good herbs, the finest coffee which does not grow in the Waldviertel and magnificent flowers Direct trade is fair!",0.406120655332,0.448776640198,0.473311716062,0.399394265377,0.513002545184,0.391580846697,,,1,1,0,0,1,0,,0,Solidarity,11,C,K,Solidarity=0,0.3156021248,0.4224414067,0.4889515852,0.6096201198,,Solidarity=0,0.3458262555,0.4224414067,0.4889515852,0.5786299559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By direct trade our fermert farmers in Albanian receive fair prices for their products - with a 0.,0.454922753259,0.486519721027,0.419069145366,0.445596439187,0.564226700816,0.395050549872,,,0,0,0,0,2,0,,1,Solidarity,11,C,K,Solidarity=1,0.388445456,0.4602672783,0.5405487368,0.6492979958,,Solidarity=1,0.3895481125,0.4602672783,0.5405487368,0.6429564439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00 risk on price speculation or middle trade.,0.337945886091,0.383144943509,0.370402525548,0.416063520776,0.514830233441,0.339381781171,,,0,0,0,0,2,0,,2,Solidarity,11,C,K,Solidarity=2,0.4138692432,0.5078576499,0.5819029737,0.6541707337,,Solidarity=2,0.4281999349,0.5078576499,0.5819029737,0.646570033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why are we not Fairtrade certified?,0.487681403176,0.486499384651,0.475895505630,0.527546208080,0.580295772792,0.458198559662,,,1,1,0,0,1,0,,0,Plurality,12,D,L,Plurality=0,0.3064756687,0.4037694507,0.4688774736,0.6443107489,,Plurality=0,0.3355528413,0.4037694507,0.4688774736,0.5688039833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Because we do not want to rely on a logo when it comes to our valuable raw materials.,0.508443187395,0.523344891341,0.469239049821,0.486010418499,0.520668752998,0.547936868383,,,0,0,0,0,0,0,,1,Plurality,12,D,L,Plurality=1,0.4545233505,0.5006963928,0.5448464737,0.6342622656,,Plurality=1,0.4564202541,0.5006963928,0.5448464737,0.6289554208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rather, we prefer to work directly with our farmers.",0.508988744844,0.531465303280,0.450638899646,0.522415312518,0.569259031148,0.465698176064,,,0,0,0,0,1,0,,2,Plurality,12,D,L,Plurality=2,0.4299225562,0.4691745784,0.5958015557,0.6376530578,,Plurality=2,0.4316476973,0.4691745784,0.5958015557,0.6366540135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
