combined,Dignity,Solidarity,Plurality,Subsidiarity,Reciprocity,Sustainability,,Manual,Dignity,Solidarity,Plurality,Subsidiarity,Reciprocity,Sustainability,,Boxplots,,,,,Boxplot Data,0,0.25,0.75,1,,Boxplot Data,0.01,0.25,0.75,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901000g Currently not available Show details We know no limitations when it comes to fairness and appreciation.,0.595771983680,0.604714596221,0.583392946949,0.562192404117,0.545886525024,0.574888429818,,,2,1,0,0,1,0,,Manual Score,Value,Manual Column Nr,Score Column,Manual Column,Label,Min,Q1,Q3,Max,,Label,Min,Q1,Q3,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For at the end of the day, the world is a village.",0.659038185327,0.673868178676,0.645061258005,0.604130857271,0.594207526906,0.664828711124,,,0,1,0,0,0,0,,0,Dignity,10,B,J,Dignity=0,0.4050316145,0.5262447751,0.5758153617,0.6777262959,,Dignity=0,0.4650905646,0.5262447751,0.5758153617,0.636139735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmers are called fermierii in Romania and agricultores in Nicaragua.,0.530933006206,0.530555982136,0.526915160209,0.524750499471,0.521457910441,0.542437162162,,,0,0,0,0,0,0,,1,Dignity,10,B,J,Dignity=1,0.4983603739,0.5564098533,0.59268251,0.6998162958,,Dignity=1,0.5148036542,0.5564098533,0.59268251,0.6519601397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We know this because we are dealing directly with our global partners in Tanzania, the Czech Republic, Albania, Germany, and Nicaragua and Romania.",0.613701787974,0.665012679020,0.627530670563,0.586998536298,0.639384726909,0.621870828768,,,0,0,0,0,1,0,,2,Dignity,10,B,J,Dignity=2,0.5431394208,0.5768837684,0.6169525797,0.6835485371,,Dignity=2,0.5469726621,0.5768837684,0.6169525797,0.6829236697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other countries also have good herbs, the finest coffee which does not grow in the Waldviertel and magnificent flowers Direct trade is fair!",0.579688498025,0.608428181858,0.596324954481,0.577753258280,0.575554775100,0.610775186611,,,1,1,0,0,1,0,,0,Solidarity,11,C,K,Solidarity=0,0.4448414737,0.5360407255,0.5865897185,0.7045862812,,Solidarity=0,0.4789393,0.5360407255,0.5865897185,0.6569460605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By direct trade our fermert farmers in Albanian receive fair prices for their products - with a 0.,0.541749986141,0.548502451048,0.560895306070,0.553797581607,0.561593521343,0.550080503564,,,0,0,0,0,2,0,,1,Solidarity,11,C,K,Solidarity=1,0.4729434716,0.5722008722,0.6293292901,0.6840746255,,Solidarity=1,0.500401999,0.5722008722,0.6293292901,0.6771342417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00 risk on price speculation or middle trade.,0.497484980358,0.508810392447,0.547384662091,0.548052437062,0.560499751496,0.481572610424,,,0,0,0,0,2,0,,2,Solidarity,11,C,K,Solidarity=2,0.5358542688,0.5792090753,0.6444243205,0.7276879254,,Solidarity=2,0.5389911071,0.5792090753,0.6444243205,0.6941559449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why are we not Fairtrade certified?,0.564878347605,0.588486992271,0.566202952410,0.557366832835,0.552091234065,0.602331459986,,,1,1,0,0,1,0,,0,Plurality,12,D,L,Plurality=0,0.4521700971,0.5529701241,0.6063149515,0.7407357696,,Plurality=0,0.4883539078,0.5529701241,0.6063149515,0.6813310873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Because we do not want to rely on a logo when it comes to our valuable raw materials.,0.616205303217,0.582381958362,0.586684544910,0.581888232866,0.556972932584,0.622861253681,,,0,0,0,0,0,0,,1,Plurality,12,D,L,Plurality=1,0.5634463195,0.6218087922,0.6657982704,0.7364053786,,Plurality=1,0.5669000353,0.6218087922,0.6657982704,0.7352347878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rather, we prefer to work directly with our farmers.",0.572393099340,0.564036166809,0.601607950574,0.603609183232,0.586376172502,0.610941404957,,,0,0,0,0,1,0,,2,Plurality,12,D,L,Plurality=2,0.5788197826,0.5950503625,0.7153292055,0.7700200968,,Plurality=2,0.5795291208,0.5950503625,0.7153292055,0.7683250101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
